2020-07-31 16:37:29 status half-installed findutils:arm64 4.7.0-1ubuntu1
2020-07-31 16:37:30 status unpacked findutils:arm64 4.7.0-1ubuntu1
2020-07-31 16:37:30 install gcc-10-base:arm64 <none> 10-20200411-0ubuntu1
2020-07-31 16:37:30 status half-installed gcc-10-base:arm64 10-20200411-0ubuntu1
2020-07-31 16:37:30 status unpacked gcc-10-base:arm64 10-20200411-0ubuntu1
2020-07-31 16:37:30 install grep:arm64 <none> 3.4-1
2020-07-31 16:37:30 status half-installed grep:arm64 3.4-1
2020-07-31 16:37:30 status unpacked grep:arm64 3.4-1
2020-07-31 16:37:30 install gzip:arm64 <none> 1.10-0ubuntu4
2020-07-31 16:37:30 status half-installed gzip:arm64 1.10-0ubuntu4
2020-07-31 16:37:30 status unpacked gzip:arm64 1.10-0ubuntu4
2020-07-31 16:37:30 install hostname:arm64 <none> 3.23
2020-07-31 16:37:30 status half-installed hostname:arm64 3.23
2020-07-31 16:37:30 status unpacked hostname:arm64 3.23
2020-07-31 16:37:30 install init-system-helpers:all <none> 1.57
2020-07-31 16:37:30 status half-installed init-system-helpers:all 1.57
2020-07-31 16:37:30 status unpacked init-system-helpers:all 1.57
2020-07-31 16:37:30 install libacl1:arm64 <none> 2.2.53-6
2020-07-31 16:37:30 status half-installed libacl1:arm64 2.2.53-6
2020-07-31 16:37:30 status unpacked libacl1:arm64 2.2.53-6
2020-07-31 16:37:30 install libattr1:arm64 <none> 1:2.4.48-5
2020-07-31 16:37:30 status half-installed libattr1:arm64 1:2.4.48-5
2020-07-31 16:37:30 status unpacked libattr1:arm64 1:2.4.48-5
2020-07-31 16:37:30 install libaudit-common:all <none> 1:2.8.5-2ubuntu6
2020-07-31 16:37:30 status half-installed libaudit-common:all 1:2.8.5-2ubuntu6
2020-07-31 16:37:30 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2020-07-31 16:37:31 install libaudit1:arm64 <none> 1:2.8.5-2ubuntu6
2020-07-31 16:37:31 status half-installed libaudit1:arm64 1:2.8.5-2ubuntu6
2020-07-31 16:37:31 status unpacked libaudit1:arm64 1:2.8.5-2ubuntu6
2020-07-31 16:37:31 install libblkid1:arm64 <none> 2.34-0.1ubuntu9
2020-07-31 16:37:31 status half-installed libblkid1:arm64 2.34-0.1ubuntu9
2020-07-31 16:37:31 status unpacked libblkid1:arm64 2.34-0.1ubuntu9
2020-07-31 16:37:31 install libbz2-1.0:arm64 <none> 1.0.8-2
2020-07-31 16:37:31 status half-installed libbz2-1.0:arm64 1.0.8-2
2020-07-31 16:37:31 status unpacked libbz2-1.0:arm64 1.0.8-2
2020-07-31 16:37:31 install libc-bin:arm64 <none> 2.31-0ubuntu9
2020-07-31 16:37:31 status half-installed libc-bin:arm64 2.31-0ubuntu9
2020-07-31 16:37:31 status unpacked libc-bin:arm64 2.31-0ubuntu9
2020-07-31 16:37:31 upgrade libc6:arm64 2.31-0ubuntu9 2.31-0ubuntu9
2020-07-31 16:37:31 status half-configured libc6:arm64 2.31-0ubuntu9
2020-07-31 16:37:31 status unpacked libc6:arm64 2.31-0ubuntu9
2020-07-31 16:37:31 status half-installed libc6:arm64 2.31-0ubuntu9
2020-07-31 16:37:34 status unpacked libc6:arm64 2.31-0ubuntu9
2020-07-31 16:37:34 install libcap-ng0:arm64 <none> 0.7.9-2.1build1
2020-07-31 16:37:34 status half-installed libcap-ng0:arm64 0.7.9-2.1build1
2020-07-31 16:37:34 status unpacked libcap-ng0:arm64 0.7.9-2.1build1
2020-07-31 16:37:34 install libcom-err2:arm64 <none> 1.45.5-2ubuntu1
2020-07-31 16:37:34 status half-installed libcom-err2:arm64 1.45.5-2ubuntu1
2020-07-31 16:37:34 status unpacked libcom-err2:arm64 1.45.5-2ubuntu1
2020-07-31 16:37:34 install libcrypt1:arm64 <none> 1:4.4.10-10ubuntu4
2020-07-31 16:37:34 status half-installed libcrypt1:arm64 1:4.4.10-10ubuntu4
2020-07-31 16:37:34 status unpacked libcrypt1:arm64 1:4.4.10-10ubuntu4
2020-07-31 16:37:34 install libdb5.3:arm64 <none> 5.3.28+dfsg1-0.6ubuntu2
2020-07-31 16:37:34 status half-installed libdb5.3:arm64 5.3.28+dfsg1-0.6ubuntu2
2020-07-31 16:37:35 status unpacked libdb5.3:arm64 5.3.28+dfsg1-0.6ubuntu2
